claim_id,location,claim_type,value_paper,digits,units,comparison,needs_block,claim
float_table_1,Table 1 (p. 1049),structural,123,0,cells,==,FALSE,"Table 1 prints 123 numbers: four treatment rows of ten estimates and ten standard errors; four subject counts; nine All Instruments estimates and standard errors; the Control row's estimate,  standard error and count; and nine bracketed untreated-complier ranges."
float_table_2,Table 2 (p. 1050),structural,92,0,cells,==,FALSE,Table 2 prints 92 numbers on the same plan as Table 1 with three treatment arms and nine election columns.
float_table_3,Table 3 (p. 1052),structural,78,0,cells,==,FALSE,Table 3 prints 78 numbers: three household-size rows of seven estimates and standard errors with their counts and six untreated-complier means each; the pooled row's seven estimates and standard errors; and the pooled count.
float_table_4,Table 4 (p. 1054),structural,238,0,cells,==,FALSE,"Table 4 prints 238 numbers: 54 presidential-on-midterm state estimates and 55 midterm-on-presidential state estimates, each with a standard error, plus five meta-analytic estimates and standard errors per panel."
float_table_5,Table 5 (p. 1055),structural,198,0,cells,==,FALSE,"Table 5 prints 198 numbers: 53 presidential-on-presidential and 37 midterm-on-midterm state estimates, each with a standard error, plus the meta-analytic row of each panel."
float_table_6,Table 6 (p. 1057),structural,192,0,cells,==,FALSE,"Table 6 prints 192 numbers: 86 state estimates with their standard errors, plus ten meta-analytic estimates and standard errors."
float_table_7,Table 7 (p. 1058),structural,53,0,cells,==,FALSE,"Table 7 prints 53 cells: 38 coefficients and robust standard errors, five state fixed-effects indicators, five sample sizes and five R-squareds."
float_figure_a1,Figure A1 (SI p. 10),structural,0,0,cells,==,FALSE,Figure A1 draws a continuous bias surface and prints no estimate on its face; it states no countable plotted quantity.
float_table_a1,Table A1 (SI p. 8),structural,72,0,cells,==,FALSE,Table A1 prints 72 numbers enumerating twelve types of residentially mobile voter. It is a typology written by hand rather than an analysis output; nothing in the deposit produces it.
float_table_a2,Table A2 (SI p. 11),structural,75,0,cells,==,FALSE,Table A2 prints 75 numbers: fifteen states by five columns.
float_table_a3,Table A3 (SI p. 12),structural,72,0,cells,==,FALSE,Table A3 prints 72 numbers enumerating twelve types of voter who move after both elections. Like Table A1 it is a typology rather than an analysis output.
float_table_a4,Table A4 (SI p. 15),structural,264,0,cells,==,FALSE,"Table A4 prints 264 numbers: ten state panels of official turnout, votes on the voter file and the percentage on file. Official turnout comes from an external website and the counts are statewide, where the deposited file holds only birthdate cohorts near the eligibility cutoffs, so neither the deposit nor the rewrite can produce them."
float_table_a5,Table A5 (SI p. 16),structural,171,0,cells,==,FALSE,Table A5 prints 171 numbers continuing Table A4 over nine more state panels. Same reason for zero coverage.
float_table_a6,Table A6 (SI p. 18),structural,128,0,cells,==,FALSE,Table A6 prints 128 numbers: two panels of four functional forms by eight bandwidths with an estimate and a standard error in each cell.
float_table_a7,Table A7 (SI p. 19),structural,128,0,cells,==,FALSE,Table A7 prints 128 numbers on the same plan as Table A6.
float_figure_a2,Figure A2 (SI p. 20),structural,0,0,cells,==,FALSE,Figure A2 prints no numbers on its face. What it states is a count of plotted estimates rather than any printed value.
